Plant,PlantURL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Category
Catnip Seeds,https://www.theseedcollection.com.au/all-products?gn=Catnip Seeds&gg=2404,1,1,1,0,0,0,0,0,0,1,1,1,herb
Chervil Seeds,https://www.theseedcollection.com.au/all-products?gn=Chervil Seeds&gg=2392,1,1,1,0,0,0,0,0,1,1,1,1,herb
Chive Seeds,https://www.theseedcollection.com.au/all-products?gn=Chive Seeds&gg=2252,1,1,1,0,0,0,0,0,0,1,1,1,herb
Collards Seeds,https://www.theseedcollection.com.au/all-products?gn=Collards Seeds&gg=2253,1,1,1,1,0,0,0,0,0,0,0,0,herb
Comfrey Seeds,https://www.theseedcollection.com.au/all-products?gn=Comfrey Seeds&gg=2400,0,1,1,1,0,0,0,0,1,1,1,0,herb
Coriander Seeds,https://www.theseedcollection.com.au/all-products?gn=Coriander Seeds&gg=2254,0,0,0,0,0,0,0,0,1,1,1,1,herb
Dill Seeds,https://www.theseedcollection.com.au/all-products?gn=Dill Seeds&gg=2265,1,0,0,0,0,0,0,0,1,1,1,1,herb
Echinacea Seeds,https://www.theseedcollection.com.au/all-products?gn=Echinacea Seeds&gg=2266,0,0,0,0,0,0,0,0,1,1,1,1,herb;flower
Feverfew Seeds,https://www.theseedcollection.com.au/all-products?gn=Feverfew Seeds&gg=2388,1,1,0,0,0,0,0,0,1,1,1,1,herb;flower
German Chamomile Seeds,https://www.theseedcollection.com.au/all-products?gn=German Chamomile Seeds&gg=2401,0,0,0,0,0,0,0,0,1,1,1,1,herb
Hyssop Seeds,https://www.theseedcollection.com.au/all-products?gn=Hyssop Seeds&gg=2393,1,1,0,0,0,0,0,0,1,1,1,1,herb
Lavender Seeds,https://www.theseedcollection.com.au/all-products?gn=Lavender Seeds&gg=2281,0,0,0,0,0,0,0,0,1,1,1,0,herb;flower
Lemon Balm Seeds,https://www.theseedcollection.com.au/all-products?gn=Lemon Balm Seeds&gg=2391,0,0,0,0,0,0,0,0,1,1,1,1,herb
Lovage Seeds,https://www.theseedcollection.com.au/all-products?gn=Lovage Seeds&gg=2394,1,1,0,0,0,0,0,0,1,1,1,1,herb
Meadowsweet Seeds,https://www.theseedcollection.com.au/all-products?gn=Meadowsweet Seeds&gg=3058,0,0,1,1,1,0,0,0,1,1,1,0,herb;flower
Mint Seeds,https://www.theseedcollection.com.au/all-products?gn=Mint Seeds&gg=2289,0,0,0,0,0,0,0,0,1,1,1,1,herb
Nasturtium Seeds,https://www.theseedcollection.com.au/all-products?gn=Nasturtium Seeds&gg=2292,0,0,0,0,0,0,0,0,1,1,1,1,herb;flower
Oregano Seeds,https://www.theseedcollection.com.au/all-products?gn=Oregano Seeds&gg=2296,0,0,0,0,0,0,0,0,1,1,1,1,herb
Parsley Seeds,https://www.theseedcollection.com.au/all-products?gn=Parsley Seeds&gg=2299,1,1,1,0,0,0,0,0,1,1,1,1,herb
Perilla Seeds,https://www.theseedcollection.com.au/all-products?gn=Perilla Seeds&gg=2303,0,0,0,0,0,0,0,0,1,1,1,1,herb
Purslane Seeds,https://www.theseedcollection.com.au/all-products?gn=Purslane Seeds&gg=2308,1,0,0,0,0,0,0,0,0,1,1,1,herb
Roman Lawn Chamomile Seeds,https://www.theseedcollection.com.au/all-products?gn=Roman Lawn Chamomile Seeds&gg=2414,0,0,0,0,0,0,0,0,1,1,1,1,herb
Rosemary Seeds,https://www.theseedcollection.com.au/all-products?gn=Rosemary Seeds&gg=2314,0,0,1,1,1,0,0,0,1,1,1,0,herb
Russian Tarragon Seeds,https://www.theseedcollection.com.au/all-products?gn=Russian Tarragon Seeds&gg=2403,0,0,0,0,0,0,0,0,1,1,1,0,herb
Saffron Crocus Corms,https://www.theseedcollection.com.au/all-products?gn=Saffron Crocus Corms&gg=2919,1,1,1,1,0,0,0,0,0,0,0,1,herb
Sage Seeds,https://www.theseedcollection.com.au/all-products?gn=Sage Seeds&gg=2315,0,0,0,0,0,0,0,0,1,1,1,0,herb
Savory Seeds,https://www.theseedcollection.com.au/all-products?gn=Savory Seeds&gg=2402,0,0,0,0,0,0,0,0,1,1,1,0,herb
Thyme Seeds,https://www.theseedcollection.com.au/all-products?gn=Thyme Seeds&gg=2329,0,0,0,0,0,0,0,0,1,1,1,1,herb
Turmeric Rhizomes,https://www.theseedcollection.com.au/all-products?gn=Turmeric Rhizomes&gg=2463,0,0,0,0,0,0,0,0,0,0,1,1,herb
Yarrow Seeds,https://www.theseedcollection.com.au/all-products?gn=Yarrow Seeds&gg=2336,0,0,0,0,0,0,0,0,1,1,1,0,herb;flower
Ageratum Seeds,https://www.theseedcollection.com.au/all-products?gn=Ageratum Seeds&gg=2224,0,0,0,0,0,0,0,0,1,1,1,1,flower
Allium (Flowering Onion) Bulbs,https://www.theseedcollection.com.au/all-products?gn=Allium (Flowering Onion) Bulbs&gg=2609,0,0,1,1,1,1,0,0,0,0,0,0,flower
Aloe Plants,https://www.theseedcollection.com.au/all-products?gn=Aloe Plants&gg=2844,1,1,1,1,1,1,1,1,1,1,1,1,flower
Alyssum Seeds,https://www.theseedcollection.com.au/all-products?gn=Alyssum Seeds&gg=2225,1,1,1,1,0,0,0,0,1,1,1,1,flower
American Basket Flower Seeds,https://www.theseedcollection.com.au/all-products?gn=American Basket Flower Seeds&gg=2472,0,0,1,1,1,0,0,0,1,1,1,0,flower
Anemone Corms,https://www.theseedcollection.com.au/all-products?gn=Anemone Corms&gg=2603,0,1,1,1,1,1,1,1,0,0,0,0,flower
Aquilegia Seeds,https://www.theseedcollection.com.au/all-products?gn=Aquilegia Seeds&gg=2347,0,1,1,1,0,0,0,0,1,1,0,0,flower
Armeria Seeds,https://www.theseedcollection.com.au/all-products?gn=Armeria Seeds&gg=2443,0,0,1,1,1,0,0,0,1,1,1,0,flower
Aster Seeds,https://www.theseedcollection.com.au/all-products?gn=Aster Seeds&gg=2229,0,0,0,0,0,0,0,0,1,1,1,1,flower
Babiana Corms,https://www.theseedcollection.com.au/all-products?gn=Babiana Corms&gg=2917,0,1,1,1,1,0,0,0,0,0,0,0,flower
