id,name,address,lat,lng
359,Gravel Hill Community Garden,"Bramble Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7597243,144.2872323
360,Hills Community Gardens,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia",-37.9357967,145.4913918
361,Holmes St Community Garden,"Holmes Street, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.7829444,145.0061548
362,Maydale Social Garden,"McBryde Street, Horsham, Rural City of Horsham, Victoria, 3400, Australia",-36.7193823,142.2074454
357,Community Kitchen Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
358,Groundswell Community Garden,"Bentley Place, Frankston, Frankston South, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1544125,145.1218067
359,Gravel Hill Community Garden,"Bramble Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7597243,144.2872323
360,Hills Community Gardens,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia",-37.9357967,145.4913918
361,Holmes St Community Garden,"Holmes Street, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.7829444,145.0061548
362,Maydale Social Garden,"McBryde Street, Horsham, Rural City of Horsham, Victoria, 3400, Australia",-36.7193823,142.2074454
357,Community Kitchen Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
358,Groundswell Community Garden,"Bentley Place, Frankston, Frankston South, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1544125,145.1218067
359,Gravel Hill Community Garden,"Bramble Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7597243,144.2872323
360,Hills Community Gardens,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia",-37.9357967,145.4913918
361,Holmes St Community Garden,"Holmes Street, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.7829444,145.0061548
362,Maydale Social Garden,"McBryde Street, Horsham, Rural City of Horsham, Victoria, 3400, Australia",-36.7193823,142.2074454
363,Bellfield Community Garden,"Oriel Road, Bellfield, Heidelberg West, Melbourne, City of Banyule, Victoria, 3081, Australia",-37.7530201,145.0393449
364,King St Community Garden,"King Street, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",-37.8499486,144.995392
365,Kensington Community Garden,"Kensington Community Garden, Cornish Lane, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.793818,144.9206407
366,Kensington Stockyard Food Garden,"Serong Street, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.7885861,144.9250568
